frame track_id type truncated occluded alpha left top right bottom height width length x y z rotation_y score center_x center_y
0 -1 Pedestrian -1 -1 -10 139.0 186.0 171.0 286.0 100 32 -1 -1000 -1000 -1000 -10 0.118511 236.0 155.0
0 -1 Car -1 -1 -10 91.0 179.0 267.0 246.0 67 176 -1 -1000 -1000 -1000 -10 13.218141 212.0 179.0
0 -1 Car -1 -1 -10 437.0 170.0 574.0 220.0 50 137 -1 -1000 -1000 -1000 -10 17.202408 195.0 505.0
0 -1 Car -1 -1 -10 809.0 167.0 888.0 218.0 51 79 -1 -1000 -1000 -1000 -10 -0.597557 192.0 848.0
0 -1 Car -1 -1 -10 795.0 163.0 948.0 257.0 94 153 -1 -1000 -1000 -1000 -10 10.099666 210.0 871.0
0 -1 Pedestrian -1 -1 -10 873.0 167.0 902.0 252.0 85 29 -1 -1000 -1000 -1000 -10 2.282086 209.0 887.0
0 -1 Car -1 -1 -10 919.0 152.0 1054.0 207.0 55 135 -1 -1000 -1000 -1000 -10 5.950939 179.0 986.0
0 -1 Car -1 -1 -10 1188.0 146.0 1238.0 353.0 207 50 -1 -1000 -1000 -1000 -10 -0.122866 249.0 1213.0
0 -1 Car -1 -1 -10 1133.0 165.0 1241.0 223.0 58 108 -1 -1000 -1000 -1000 -10 7.40543 194.0 1187.0
1 -1 Cyclist -1 -1 -10 161.0 185.0 226.0 243.0 58 65 -1 -1000 -1000 -1000 -10 -0.321857 214.0 193.0
1 -1 Car -1 -1 -10 1181.0 162.0 1239.0 217.0 55 58 -1 -1000 -1000 -1000 -10 4.35162 189.0 1210.0
1 -1 Pedestrian -1 -1 -10 84.0 185.0 134.0 308.0 123 50 -1 -1000 -1000 -1000 -10 -0.954893 246.0 109.0
1 -1 Car -1 -1 -10 1197.0 73.0 1241.0 235.0 162 44 -1 -1000 -1000 -1000 -10 1.652323 154.0 1219.0
1 -1 Cyclist -1 -1 -10 944.0 144.0 996.0 247.0 103 52 -1 -1000 -1000 -1000 -10 1.129056 195.0 970.0
1 -1 Car -1 -1 -10 809.0 160.0 978.0 258.0 98 169 -1 -1000 -1000 -1000 -10 11.357873 209.0 893.0
1 -1 Car -1 -1 -10 921.0 147.0 1062.0 205.0 58 141 -1 -1000 -1000 -1000 -10 4.049048 176.0 991.0
1 -1 Car -1 -1 -10 837.0 167.0 906.0 222.0 55 69 -1 -1000 -1000 -1000 -10 1.028686 194.0 871.0
1 -1 Car -1 -1 -10 402.0 170.0 569.0 221.0 51 167 -1 -1000 -1000 -1000 -10 15.809256 195.0 485.0
1 -1 Car -1 -1 -10 9.0 175.0 212.0 256.0 81 203 -1 -1000 -1000 -1000 -10 12.080796 215.0 110.0
2 -1 Car -1 -1 -10 2.0 181.0 163.0 260.0 79 161 -1 -1000 -1000 -1000 -10 11.522031 220.0 82.0
2 -1 Car -1 -1 -10 382.0 168.0 526.0 221.0 53 144 -1 -1000 -1000 -1000 -10 13.294316 194.0 454.0
2 -1 Car -1 -1 -10 853.0 158.0 1012.0 254.0 96 159 -1 -1000 -1000 -1000 -10 12.759643 206.0 932.0
2 -1 Car -1 -1 -10 0.0 162.0 48.0 265.0 103 48 -1 -1000 -1000 -1000 -10 0.083291 213.0 24.0
